Debit/Credit,Date,Description,Table Heading, Amount , Outstanding Balance ,,,In QB?,Date,Account
CREDIT,5/9/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240508 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000019115383 EED:240509   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1309115383TC,ACH_CREDIT,123.75,"252,518.92",,0,,,
DEBIT,5/10/2024,Online Transfer to CHK ...7365 transaction#: 20740551585 05/10,ACCT_XFER,"-1,000.21","251,518.71",,0,,,
DEBIT,5/10/2024,Online Transfer to CHK ...7365 transaction#: 20740517135 05/10,ACCT_XFER,"-13,600.00","237,918.71",,0,,,
DEBIT,5/10/2024,INTUIT *QBooks Onlin CL.INTUIT.COM CA        05/10,DEBIT_CARD,-217.75,"237,700.96",,0,,,
CREDIT,5/10/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240509 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000013650434 EED:240510   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1313650434TC,ACH_CREDIT,410,"238,110.96",,0,,,
DEBIT,5/13/2024,WEB*NETWORKSOLUTIONS 888-6429675 FL          05/11,DEBIT_CARD,-50.97,"238,059.99",,0,,,
CREDIT,5/13/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240512 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016327607 EED:240513   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1346327607TC,ACH_CREDIT,80,"238,139.99",,0,,,
CREDIT,5/13/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240512 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016327606 EED:240513   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1346327606TC,ACH_CREDIT,123.75,"238,263.74",,0,,,
CREDIT,5/15/2024,Online Transfer from CHK ...7851 transaction#: 20790499578,ACCT_XFER,"1,870.89","240,134.63",,0,,,
DEBIT,5/16/2024,ZOOM.US 888-799-9666 WWW.ZOOM.US CA          05/15,DEBIT_CARD,-16.37,"240,118.26",,0,,,
CREDIT,5/16/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240515 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000011315645 EED:240516   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1371315645TC,ACH_CREDIT,327.5,"240,445.76",,0,,,
CREDIT,5/17/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240516 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000010082973 EED:240517   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1380082973TC,ACH_CREDIT,123.75,"240,569.51",,0,,,
DEBIT,5/20/2024,GOOGLE *Google Storag 855-836-3987 CA        05/17,DEBIT_CARD,-10.88,"240,558.63",,0,,,
CREDIT,5/20/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240519 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000018076588 EED:240520   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1418076588TC,ACH_CREDIT,80,"240,638.63",,0,,,
CREDIT,5/20/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240517 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000018076590 EED:240520   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1418076590TC,ACH_CREDIT,123.75,"240,762.38",,0,,,
CREDIT,5/20/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240519 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000018076587 EED:240520   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1418076587TC,ACH_CREDIT,123.75,"240,886.13",,0,,,
DEBIT,5/21/2024,REATTENDANCE LTD BANBURY                     05/20,DEBIT_CARD,-109,"240,777.13",,0,,,
DEBIT,5/22/2024,CATCH HOSPITALITY HTTPSCATCHRES NY           05/21,DEBIT_CARD,"-3,433.41","237,343.72",,0,,,
CREDIT,5/22/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240521 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000015854859 EED:240522   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1435854859TC,ACH_CREDIT,123.75,"237,467.47",,0,,,
CREDIT,5/28/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240527 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000014903773 EED:240528   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1494903773TC,ACH_CREDIT,80,"237,547.47",,0,,,
CREDIT,5/28/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240526 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000014903771 EED:240528   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1494903771TC,ACH_CREDIT,80,"237,627.47",,0,,,
CREDIT,5/31/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240530 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000010342287 EED:240531   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1520342287TC,ACH_CREDIT,240,"237,867.47",,0,,,
DEBIT,6/3/2024,"Zelle payment to Janet Benson, Inc. 20986620114",QUICKPAY_DEBIT,-666.03,"237,201.44",,0,,,
DEBIT,6/3/2024,INTUIT *QuickBooks CL.INTUIT.COM CA          06/03,DEBIT_CARD,-706.6,"236,494.84",,0,,,
DEBIT,6/3/2024,EIG*CONSTANTCONTACT.CO 855-2295506 MA        06/02,DEBIT_CARD,-157.87,"236,336.97",,0,,,
DEBIT,6/3/2024,GOOGLE *GSUITE_audio cc@google.com CA        06/01,DEBIT_CARD,-78.88,"236,258.09",,0,,,
DEBIT,6/3/2024,LINODE . AKAMAI 609-380-7100 MA              06/01,DEBIT_CARD,-34,"236,224.09",,0,,,
CREDIT,6/3/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240602 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000014377913 EED:240603   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1554377913TC,ACH_CREDIT,123.75,"236,347.84",,0,,,
CREDIT,6/3/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240531 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000014377915 EED:240603   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1554377915TC,ACH_CREDIT,240,"236,587.84",,0,,,
DEBIT,6/4/2024,Online ACH Payment 11133807942 To EveryChildaReaderInc (_######5713),ACH_PAYMENT,-500,"236,087.84",,0,,,
DEBIT,6/4/2024,ONLINE INTERNATIONAL WIRE TRANSFER A/C: COUTTS AND CO ESSEX UNITED KINGDOM SSO O-EJ GB REF: INVOICE 24510175 CONSULTANCY EXPENSES TRN: 3260994156ES 06/04,WIRE_OUTGOING,"-5,000.00","231,087.84",,0,,,
DEBIT,6/4/2024,Online ACH Payment 11133788417 To NationalCoalitionAgainstCensors (_#####1690),ACH_PAYMENT,"-1,500.00","229,587.84",,0,,,
CREDIT,6/5/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240604 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000012305257 EED:240605   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1572305257TC,ACH_CREDIT,"1,485.00","231,072.84",,0,,,
DEBIT,6/10/2024,ACCESSIBE.COM ACCESSIBE.COM NY               06/10,DEBIT_CARD,-533.49,"230,539.35",,0,,,
DEBIT,6/10/2024,INTUIT *QBooks Onlin CL.INTUIT.COM CA        06/10,DEBIT_CARD,-217.75,"230,321.60",,0,,,
DEBIT,6/10/2024,FEDEX460575656 800-4633339 TN                06/09,DEBIT_CARD,-50.26,"230,271.34",,0,,,
DEBIT,6/12/2024,Online Transfer to CHK ...7365 transaction#: 21069692505 06/12,ACCT_XFER,"-13,600.00","216,671.34",,0,,,
DEBIT,6/12/2024,Online Transfer to CHK ...7365 transaction#: 21069681384 06/12,ACCT_XFER,"-13,600.00","203,071.34",,0,,,
DEBIT,6/12/2024,B&H PHOTO 800-606-6969 800-2215743 NY        06/11,DEBIT_CARD,-98.42,"202,972.92",,0,,,
DEBIT,6/13/2024,Online Transfer to CHK ...7365 transaction#: 21082318529 06/13,ACCT_XFER,"-10,500.00","192,472.92",,0,,,
DEBIT,6/13/2024,Online ACH Payment 11134895907 To MicheleCobb (_######6800),ACH_PAYMENT,"-7,976.89","184,496.03",,0,,,
DEBIT,6/13/2024,Online ACH Payment 11134903816 To MicheleCobb (_######6800),ACH_PAYMENT,"-12,863.58","171,632.45",,0,,,
DEBIT,6/13/2024,Online Transfer to CHK ...7365 transaction#: 21079635193 06/13,ACCT_XFER,"-13,600.00","158,032.45",,0,,,
DEBIT,6/17/2024,"NOTION LABS, INC. HTTPSWWW.NOTI CA           06/16",DEBIT_CARD,-839.3,"157,193.15",,0,,,
DEBIT,6/17/2024,ZOOM.US 888-799-9666 WWW.ZOOM.US CA          06/15,DEBIT_CARD,-16.37,"157,176.78",,0,,,
DEBIT,6/17/2024,ACCESSIBE.COM ACCESSIBE.COM NY               06/14,DEBIT_CARD,-533.49,"156,643.29",,0,,,
DEBIT,6/18/2024,GOOGLE *Google Storag 855-836-3987 CA        06/17,DEBIT_CARD,-10.88,"156,632.41",,0,,,
DEBIT,6/21/2024,REATTENDANCE LTD BANBURY                     06/20,DEBIT_CARD,-109,"156,523.41",,0,,,
CREDIT,6/21/2024,Online Transfer from CHK ...7365 transaction#: 21166639139,ACCT_XFER,"5,479.00","162,002.41",,0,,,
CREDIT,6/26/2024,"FEDWIRE CREDIT VIA: THE BANK OF NEW YORK MELLON/021000018 B/O: BEAT TECHNOLOGY AS NO-5978 MJOMNA REF: CHASE NYC/CTR/BNF=AUDIO PUBLISHERS ASSOCIATION, INC. NEW YORK NY 10013 -1033 US/AC-000000009056 RFB=O/B BK OF NYC OBI=CINV 300008038 BBI=/CHG S/USD0,00/OCMT/USD300,0/BNF/LESS FE ES IMAD: 0626B1Q8153C000468 TRN: 0049331178FF",WIRE_INCOMING,283.5,"162,285.91",,0,,,
CREDIT,6/27/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240626 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016488273 EED:240627   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1786488273TC,ACH_CREDIT,320,"162,605.91",,0,,,
CREDIT,6/27/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240626 CO ENTRY DESCR:BTOT ADJ  SEC:CCD    TRACE#:091000016488275 EED:240627   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1786488275TC,ACH_CREDIT,"19,539.72","182,145.63",,0,,,
CREDIT,6/28/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240627 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000018404786 EED:240628   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1798404786TC,ACH_CREDIT,"1,320.00","183,465.63",,0,,,
DEBIT,7/1/2024,LINODE . AKAMAI 609-380-7100 MA              07/01,DEBIT_CARD,-34.02,"183,431.61",,0,,,
DEBIT,7/1/2024,GOOGLE *GSUITE_audio cc@google.com CA        07/01,DEBIT_CARD,-78.39,"183,353.22",,0,,,
DEBIT,7/1/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240628 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016157640 EED:240701   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1806157640TC,ACH_DEBIT,-453.75,"182,899.47",,0,,,
DEBIT,7/1/2024,CRISTAUX INTERNATIONA 312-778-8800 IL        06/28,DEBIT_CARD,-30.04,"182,869.43",,0,,,
CREDIT,7/1/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240630 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000019830399 EED:240701   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1839830399TC,ACH_CREDIT,110,"182,979.43",,0,,,
CREDIT,7/1/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240630 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000019830400 EED:240701   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1839830400TC,ACH_CREDIT,"1,285.00","184,264.43",,0,,,
CREDIT,7/1/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240628 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000015590975 EED:240701   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1805590975TC,ACH_CREDIT,"3,533.75","187,798.18",,0,,,
DEBIT,7/2/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240630 CO ENTRY DESCR:MTOT DISC SEC:CCD    TRACE#:091000019042860 EED:240702   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1839042860TC,ACH_DEBIT,"-1,343.85","186,454.33",,0,,,
DEBIT,7/3/2024,SERVICE CHARGES FOR THE MONTH OF JUNE,FEE_TRANSACTION,-34,"186,420.33",,0,,,
DEBIT,7/3/2024,EIG*CONSTANTCONTACT.CO 855-2295506 MA        07/02,DEBIT_CARD,-157.87,"186,262.46",,0,,,
CREDIT,7/3/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240702 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000019021188 EED:240703   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1849021188TC,ACH_CREDIT,"1,737.50","187,999.96",,0,,,
DEBIT,7/5/2024,ORIG CO NAME:RAYDIUS CORPORAT       ORIG ID:9215986202 DESC DATE:240704 CO ENTRY DESCR:SALE      SEC:CCD    TRACE#:021000027917258 EED:240705   IND ID:                             IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1857917258TC,ACH_DEBIT,"-6,060.00","181,939.96",,0,,,
CREDIT,7/5/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240704 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000010038408 EED:240705   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1870038408TC,ACH_CREDIT,777.5,"182,717.46",,0,,,
CREDIT,7/5/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240703 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000017219514 EED:240705   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1857219514TC,ACH_CREDIT,"4,597.50","187,314.96",,0,,,
CREDIT,7/8/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240707 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000015325424 EED:240708   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1905325424TC,ACH_CREDIT,957.5,"188,272.46",,0,,,
CREDIT,7/8/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240707 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000015325425 EED:240708   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1905325425TC,ACH_CREDIT,"1,452.50","189,724.96",,0,,,
CREDIT,7/8/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240705 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000014662705 EED:240708   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1874662705TC,ACH_CREDIT,"2,632.50","192,357.46",,0,,,
DEBIT,7/9/2024,Online Transfer to CHK ...7365 transaction#: 21349745622 07/09,ACCT_XFER,"-3,409.84","188,947.62",,0,,,
CREDIT,7/9/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240708 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000011122298 EED:240709   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1901122298TC,ACH_CREDIT,932.5,"189,880.12",,0,,,
DEBIT,7/10/2024,INTUIT *QBooks Onlin CL.INTUIT.COM CA        07/10,DEBIT_CARD,-217.75,"189,662.37",,0,,,
CREDIT,7/10/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240709 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000013466009 EED:240710   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1913466009TC,ACH_CREDIT,"4,430.00","194,092.37",,0,,,
CREDIT,7/11/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240710 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000018925959 EED:240711   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1928925959TC,ACH_CREDIT,"4,445.00","198,537.37",,0,,,
CREDIT,7/12/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240711 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000012778695 EED:240712   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1932778695TC,ACH_CREDIT,"19,037.50","217,574.87",,0,,,
DEBIT,7/15/2024,WEB*NETWORKSOLUTIONS 888-6429675 FL          07/13,DEBIT_CARD,-89.98,"217,484.89",,0,,,
CREDIT,7/15/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240714 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016735131 EED:240715   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1976735131TC,ACH_CREDIT,522.5,"218,007.39",,0,,,
CREDIT,7/15/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240714 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016735132 EED:240715   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1976735132TC,ACH_CREDIT,"22,760.00","240,767.39",,0,,,
CREDIT,7/15/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240712 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016344125 EED:240715   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1946344125TC,ACH_CREDIT,"48,642.50","289,409.89",,0,,,
DEBIT,7/16/2024,Online Transfer to CHK ...7365 transaction#: 21422175615 07/16,ACCT_XFER,"-8,008.33","281,401.56",,0,,,
DEBIT,7/16/2024,ZOOM.US 888-799-9666 WWW.ZOOM.US CA          07/15,DEBIT_CARD,-16.37,"281,385.19",,0,,,
CREDIT,7/16/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240715 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016030601 EED:240716   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1976030601TC,ACH_CREDIT,402.5,"281,787.69",,0,,,
DEBIT,7/17/2024,GOOGLE *Google One 855-836-3987 CA           07/17,DEBIT_CARD,-10.88,"281,776.81",,0,,,
CREDIT,7/17/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240716 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016087151 EED:240717   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1986087151TC,ACH_CREDIT,"7,735.00","289,511.81",,0,,,
CREDIT,7/17/2024,"CHIPS CREDIT VIA: BARCLAYS BANK PLC/0257 B/O: JOHN NASSARI LIMITED CO UKMAL,LONDON,E1 8AH,GB REF: NBNF=AUDIO PUBLISHERS ASSOCIATION, INC. NEW YORK NY 10013-1033 US/AC-0 00000009056 ORG=/5290DAE7CF3B4BDD81 789F9F9104326C CO UKMAL,LONDON,E1 8 AH,GB OGB=STARLING BANK LTD NOT PRO VIDED OBI=/URI/INVOICE 1669 MARKETI SSN: 00174043 TRN: 0044516199FC",WIRE_INCOMING,400.3,"289,912.11",,0,,,
DEBIT,7/18/2024,Online Transfer to CHK ...7365 transaction#: 21443691410 07/18,ACCT_XFER,"-5,591.67","284,320.44",,0,,,
CREDIT,7/18/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240717 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000013541926 EED:240718   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 1993541926TC,ACH_CREDIT,"2,790.00","287,110.44",,0,,,
DEBIT,7/19/2024,ORIG CO NAME:Great American G       ORIG ID:F800146791 DESC DATE:240718 CO ENTRY DESCR:debitpmt  SEC:PPD    TRACE#:042000015972077 EED:240719   IND ID:#369869237                   IND NAME:GreatAmer                                                                                                    599000010810 TRN: 2005972077TC,ACH_DEBIT,-584,"286,526.44",,0,,,
CREDIT,7/19/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240718 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000015349064 EED:240719   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2005349064TC,ACH_CREDIT,"2,327.50","288,853.94",,0,,,
DEBIT,7/22/2024,REATTENDANCE LTD BANBURY                     07/20,DEBIT_CARD,-109,"288,744.94",,0,,,
CREDIT,7/22/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240721 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000019924535 EED:240722   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2049924535TC,ACH_CREDIT,260,"289,004.94",,0,,,
CREDIT,7/22/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240719 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000013078160 EED:240722   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2013078160TC,ACH_CREDIT,"1,620.00","290,624.94",,0,,,
CREDIT,7/23/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240722 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000013989243 EED:240723   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2043989243TC,ACH_CREDIT,82.5,"290,707.44",,0,,,
CREDIT,7/24/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240723 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000014742400 EED:240724   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2054742400TC,ACH_CREDIT,742.5,"291,449.94",,0,,,
CREDIT,7/24/2024,Online Transfer from CHK ...7851 transaction#: 21500225750,ACCT_XFER,"1,508.89","292,958.83",,0,,,
DEBIT,7/25/2024,THE NEW YORKER HOTEL NEW YORK NY             07/24,DEBIT_CARD,"-5,000.00","287,958.83",,0,,,
CREDIT,7/25/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240724 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000015722597 EED:240725   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2065722597TC,ACH_CREDIT,82.5,"288,041.33",,0,,,
CREDIT,7/26/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240725 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000016265006 EED:240726   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2076265006TC,ACH_CREDIT,"1,070.00","289,111.33",,0,,,
DEBIT,7/29/2024,ORIG CO NAME:RAYDIUS CORPORAT       ORIG ID:9215986202 DESC DATE:240727 CO ENTRY DESCR:SALE      SEC:CCD    TRACE#:021000022168975 EED:240729   IND ID:                             IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2082168975TC,ACH_DEBIT,-440,"288,671.33",,0,,,
CREDIT,7/29/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240726 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000011716019 EED:240729   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2081716019TC,ACH_CREDIT,610,"289,281.33",,0,,,
CREDIT,7/29/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240728 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000018542321 EED:240729   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2118542321TC,ACH_CREDIT,"3,205.00","292,486.33",,0,,,
DEBIT,7/30/2024,Online Transfer to CHK ...7851 transaction#: 21560709453 07/30,ACCT_XFER,"-8,008.33","284,478.00",,0,,,
DEBIT,7/30/2024,Online Transfer to CHK ...7365 transaction#: 21560675136 07/30,ACCT_XFER,"-13,400.00","271,078.00",,0,,,
CREDIT,7/30/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240729 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000017765113 EED:240730   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2117765113TC,ACH_CREDIT,110,"271,188.00",,0,,,
CREDIT,7/31/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240730 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000010162695 EED:240731   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2120162695TC,ACH_CREDIT,"3,505.00","274,693.00",,0,,,
DEBIT,8/1/2024,GOOGLE *GSUITE_audio cc@google.com CA        08/01,DEBIT_CARD,-78.39,"274,614.61",,0,,,
DEBIT,8/1/2024,LINODE . AKAMAI 609-380-7100 MA              08/01,DEBIT_CARD,-33.98,"274,580.63",,0,,,
CREDIT,8/1/2024,ORIG CO NAME:BANKCARD-8566          ORIG ID:1592126793 DESC DATE:240731 CO ENTRY DESCR:MTOT DEP  SEC:CCD    TRACE#:091000010262890 EED:240801   IND ID:518089424394518              IND NAME:AUDIO PUBLISHERS ASSOC TRN: 2130262890TC,ACH_CREDIT,680,"275,260.63",,0,,,
